contrast,backbone,dataset,axis,seed,adapter_run_id,reference_run_id,metric,adapter_value,reference_value,effect_adapter_minus_reference
delta_full,CBraMod,isruc,channel_patch,3407,isruc_cbramod_alpha0_full_channel_patch_r64_s3407,isruc_cbramod_dense_s3407_lr2e-4_b8_e20,macro_f1,0.76095498,0.77305173,-0.01209675
delta_full,CBraMod,isruc,channel_patch,42,isruc_cbramod_native_full_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_dense_s42_lr5e-5_b8_e20,balanced_accuracy,0.78284514,0.77442231,0.00842283
delta_full,CBraMod,isruc,channel_patch,42,isruc_cbramod_native_full_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_dense_s42_lr5e-5_b8_e20,macro_f1,0.78276168,0.77155976,0.01120193
delta_full,LaBraM,PhysioNet-MI,channel_patch,1024,physio_mi_full_channel_patch_lowrank_locked_lr5e4_s1024_b64_e40,physio_mi_labram_dense_locked_lr5e4_s1024_b64_e40_scale100,balanced_accuracy,0.63023980,0.62230725,0.00793255
delta_full,LaBraM,PhysioNet-MI,channel_patch,1024,physio_mi_full_channel_patch_lowrank_locked_lr5e4_s1024_b64_e40,physio_mi_labram_dense_locked_lr5e4_s1024_b64_e40_scale100,macro_f1,0.63319070,0.62331268,0.00987802
delta_full,LaBraM,PhysioNet-MI,channel_patch,3407,physio_mi_full_channel_patch_lowrank_locked_lr5e4_s3407_b64_e40,physio_mi_labram_dense_locked_lr5e4_s3407_b64_e40_scale100,balanced_accuracy,0.61582829,0.59333006,0.02249823
delta_full,LaBraM,PhysioNet-MI,channel_patch,3407,physio_mi_full_channel_patch_lowrank_locked_lr5e4_s3407_b64_e40,physio_mi_labram_dense_locked_lr5e4_s3407_b64_e40_scale100,macro_f1,0.61603031,0.59335783,0.02267248
delta_full,LaBraM,PhysioNet-MI,channel_patch,42,physio_mi_full_channel_patch_lowrank_locked_lr5e4_s42_b64_e40,physio_mi_labram_dense_sweep_lr5e4_s42_b64_e40_scale100,balanced_accuracy,0.62971708,0.61231095,0.01740613
delta_full,LaBraM,PhysioNet-MI,channel_patch,42,physio_mi_full_channel_patch_lowrank_locked_lr5e4_s42_b64_e40,physio_mi_labram_dense_sweep_lr5e4_s42_b64_e40_scale100,macro_f1,0.63106449,0.61427658,0.01678791
delta_full,CBraMod,physionet_mi,channel_patch,42,physionet_mi_cbramod_full_channel_patch_r64_s42_lr2e-4_b64_e40,physionet_mi_cbramod_dense_s42_lr2e-4_b64_e40,balanced_accuracy,0.62517077,0.61791172,0.00725905
delta_full,CBraMod,physionet_mi,channel_patch,42,physionet_mi_cbramod_full_channel_patch_r64_s42_lr2e-4_b64_e40,physionet_mi_cbramod_dense_s42_lr2e-4_b64_e40,macro_f1,0.62555805,0.61900324,0.00655481
delta_full,CBraMod,physionet_mi,channel_patch,1024,physionet_mi_cbramod_full_channel_patch_s1024_r64_adaplr2e-4_lr2e-4_b64_e40,physionet_mi_cbramod_dense_s1024_lr2e-4_b64_e40,balanced_accuracy,0.62296469,0.62573132,-0.00276663
delta_full,CBraMod,physionet_mi,channel_patch,1024,physionet_mi_cbramod_full_channel_patch_s1024_r64_adaplr2e-4_lr2e-4_b64_e40,physionet_mi_cbramod_dense_s1024_lr2e-4_b64_e40,macro_f1,0.62317210,0.62653024,-0.00335814
delta_full,CBraMod,physionet_mi,channel_patch,3407,physionet_mi_cbramod_full_channel_patch_s3407_r64_adaplr2e-4_lr2e-4_b64_e40,physionet_mi_cbramod_dense_s3407_lr2e-4_b64_e40,balanced_accuracy,0.62571038,0.62460917,0.00110120
delta_full,CBraMod,physionet_mi,channel_patch,3407,physionet_mi_cbramod_full_channel_patch_s3407_r64_adaplr2e-4_lr2e-4_b64_e40,physionet_mi_cbramod_dense_s3407_lr2e-4_b64_e40,macro_f1,0.62651776,0.62576788,0.00074988
delta_full,CBraMod,seedv,channel,1024,seedv_native_full_channel_s1024,seedv_dense_full_s1024,balanced_accuracy,0.40310735,0.40081482,0.00229253
delta_full,CBraMod,seedv,channel,1024,seedv_native_full_channel_s1024,seedv_dense_full_s1024,macro_f1,0.40307710,0.40128781,0.00178929
delta_full,CBraMod,seedv,channel,3407,seedv_native_full_channel_s3407,seedv_dense_full_s3407,balanced_accuracy,0.38519024,0.37974487,0.00544537
delta_full,CBraMod,seedv,channel,3407,seedv_native_full_channel_s3407,seedv_dense_full_s3407,macro_f1,0.38334411,0.37489871,0.00844540
delta_full,CBraMod,seedv,channel,42,seedv_native_full_channel_s42,seedv_dense_full_s42,balanced_accuracy,0.39765358,0.38229976,0.01535382
delta_full,CBraMod,seedv,channel,42,seedv_native_full_channel_s42,seedv_dense_full_s42,macro_f1,0.39754645,0.38217977,0.01536667
delta_full,CBraMod,tuev,channel_patch,1024,tuev_cbramod_full_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_dense_s1024_lr1e-4_b8_e20,balanced_accuracy,0.62555760,0.64492094,-0.01936334
