backbone,dataset,method,variant,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,cohen_kappa_mean,cohen_kappa_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,trainable_parameter_fraction_mean,trainable_parameter_fraction_sd,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_sd,training_wall_seconds_mean,training_wall_seconds_sd,analysis_roles
CBraMod,seedv,upper_k_finetune,none,3,"42,1024,3407",0.38980943,0.00136542,0.38812571,0.00562567,0.23930199,0.00301232,0.39580076,0.00600325,10887205.00000000,0.00000000,,,352935424.00000000,0.00000000,2975.60737038,665.87822640,BOUNDARY;RQ3
CBraMod,tuev,axis_blind,generic_token_control,3,"42,1024,3407",0.45800290,0.00825791,0.47631535,0.00521698,0.45816061,0.01021884,0.72193907,0.00557578,16262355.00000000,0.00000000,0.76904548,0.00000000,472705024.00000000,0.00000000,10100.84204173,1699.36730666,RQ2
CBraMod,tuev,frozen_probe,none,3,"42,1024,3407",0.46561405,0.03147048,0.48129525,0.01922409,0.46994570,0.01954496,0.72786356,0.00957984,16202406.00000000,0.00000000,0.76838887,0.00000000,471251968.00000000,0.00000000,9045.01502514,190.36587205,RQ1
CBraMod,tuev,full_finetune,none,3,"42,1024,3407",0.62014297,0.02412772,0.56545696,0.03694844,0.64244363,0.02312439,0.81392596,0.01024757,21086206.00000000,0.00000000,1.00000000,0.00000000,560153600.00000000,0.00000000,19064.70974231,1195.43665919,RQ3
CBraMod,tuev,generic_bottleneck,none,3,"42,1024,3407",0.46115588,0.01240455,0.47410110,0.00700583,0.44123438,0.00765989,0.71211463,0.00462184,16228671.00000000,0.00000000,0.76867701,0.00000000,471890944.00000000,0.00000000,10509.11693255,1948.20950671,CONTEXT
CBraMod,tuev,interaction_aligned,channel_patch,3,"42,1024,3407",0.45479370,0.02226685,0.47196254,0.02156431,0.44967540,0.02122007,0.71739772,0.01122712,16262016.00000000,0.00000000,0.76904178,0.00000000,472701952.00000000,0.00000000,9071.12477056,1019.43134693,RQ1;RQ2
CBraMod,tuev,lora,none,3,"42,1024,3407",0.55504614,0.00897166,0.52657876,0.00551675,0.54471666,0.01230394,0.76413993,0.00594601,16279206.00000000,0.00000000,0.76922938,0.00000000,473332736.00000000,0.00000000,15879.69903962,617.35059656,CONTEXT
CBraMod,tuev,native_full_finetune,channel_patch,3,"42,1024,3407",0.63289220,0.01484247,0.59037653,0.05724670,0.61835193,0.03834307,0.79990449,0.01831185,21145816.00000000,0.00000000,1.00000000,0.00000000,571427840.00000000,0.00000000,18070.29737775,2303.00124821,RQ3
CBraMod,tuev,upper_k_finetune,none,3,"42,1024,3407",0.55671853,0.03110399,0.51751988,0.02043820,0.56395976,0.03302020,0.77320204,0.01557005,17007606.00000000,0.00000000,0.80657497,0.00000000,480937984.00000000,0.00000000,11994.26350586,2028.85309688,RQ3
LaBraM,FACED,lora,qkv,3,"42,1024,3407",0.28234031,0.03240206,0.27983302,0.03209393,0.19177241,0.03620483,0.28012555,0.03185242,78609.00000000,0.00000000,0.01332685,0.00000000,,,,,CONTEXT
