backbone,dataset,method,axis,source_package,n,seeds,complete_three_seed,all_contract_valid,configuration_homogeneous,manuscript_role,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,selected_epoch_mean,source_artifacts,metric_complement_source,audit_note
CBraMod,ISRUC,native_full_finetune,channel,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7809486946588508,0.0058298713548488,0.7431639855009023,0.0009889364904245,0.7793397804768556,0.0046852007951946,0.8016910859306213,0.0020317409873325,26501066.0,9.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_full_channel_r64_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_full_channel_r64_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_native_full_channel_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,native_full_finetune,channel_patch,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7829149127993298,0.011773398381809,0.7441967431974007,0.0124758194937183,0.7781834315118614,0.0154565077708047,0.8009742113180369,0.0129130884819066,26530871.0,11.333333333333334,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_full_channel_patch_r64_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_full_channel_patch_r64_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_native_full_channel_patch_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,native_full_finetune,patch,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7701257716904866,0.0044469254499489,0.7354475003671503,0.0075076321294156,0.7677044620973825,0.0054358114212307,0.7923869111005788,0.0063973416117041,26501066.0,7.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_full_patch_r64_s1024|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_alpha0_full_patch_r64_s3407|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_native_full_patch_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,ISRUC,upper_k_finetune,none,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.7773589789158524,0.0016301095507792,0.7405109158643871,0.0089646407604068,0.7724919533805691,0.0027999817737184,0.7972003305041926,0.0071346305546461,22392661.0,7.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_upper2_s1024_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_upper2_s3407_lr2e-4_b8_e20|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/isruc/isruc_cbramod_upper2_s42_lr2e-4_b8_e20,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,PhysioNet-MI,axis_blind,generic_token_control,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5393752342987977,0.0040889887157391,0.3857638880949554,0.0055017827751201,0.5423753334205476,0.0065641975344073,0.5423483866964891,0.0065725176082746,41181753.0,4.666666666666667,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_axisblind_s1024_r148_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_axisblind_s3407_r148_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_axisblind_s42_lr2e-4_b64_e40,registry aggregate,canonical registry group
CBraMod,PhysioNet-MI,frozen_probe,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5434788746183763,0.0036412869526744,0.39120966,0.00490012,0.54547241,0.00380838,0.5454409760921585,0.0038311821247469,41121804.0,8.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_probe_s1024_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_probe_s3407_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_probe_s42_lr2e-4_b64_e40,manuscript_final_v2 method_summary,canonical registry group
CBraMod,PhysioNet-MI,full_finetune,none,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.6227507354048738,0.004228106350235,0.4969199207830095,0.005610638641063,0.6237671183411168,0.0041432125026299,0.6237423686623186,0.0041364838547989,46005604.0,16.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_dense_s1024_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_dense_s3407_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_dense_s42_lr2e-4_b64_e40,registry aggregate,incomplete or legacy/non-homogeneous group
CBraMod,PhysioNet-MI,generic_bottleneck,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5507952400999209,0.0103679651786249,0.40101272,0.01383349,0.55266695,0.00915888,0.5526360204772569,0.0091546495111513,41148069.0,4.666666666666667,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_generic_r64_s42_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_generic_s1024_r64_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_generic_s3407_r64_lr2e-4_b64_e40,manuscript_final_v2 method_summary,canonical registry group
CBraMod,PhysioNet-MI,interaction_aligned,channel,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5449240657411689,0.0089744879449106,0.39315367,0.01196015,0.54650631,0.00702695,0.5464674544695074,0.0070077286646634,41151609.0,6.666666666666667,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_channel_r64_s42_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_channel_s1024_r64_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_channel_s3407_r64_lr2e-4_b64_e40,manuscript_final_v2 method_summary,canonical registry group
CBraMod,PhysioNet-MI,interaction_aligned,channel_patch,registry_aggregate,3,"42,1024,3407",True,True,False,supporting_or_boundary,0.5465450905008633,0.0090132907687811,0.395346394090354,0.0120203846570208,0.5490488758271901,0.0091774684406048,0.5490230556611176,0.0091789116686748,41156283.333333336,11.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_channel_patch_r64_s42_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_channel_patch_s1024_r32_lr2e-4_b64_e40|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/physionet_mi/physionet_mi_cbramod_frozen_channel_patch_s3407_r32_lr2e-4_b64_e40,registry aggregate,incomplete or legacy/non-homogeneous group
