backbone,dataset,artifact_name,artifact_dir,registry_member,registry_contract_valid,classification,complete_test_contract,audit_or_smoke_name,operator_audit_name,method,axis,seed,selected_epoch,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,macro_f1_reconstructed,metric_source,config_present,local_log_present,checkpoint_best_present,summary_present,final_test_present
CBraMod,FACED,faced_evalmode_frozen_generic_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s1024_20260804,True,True,registry_complete,True,False,False,generic_bottleneck,none,1024.0,18.0,0.38754696725711213,0.31001125797439844,0.3863050278036913,0.38562317376620586,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_generic_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s3407_20260804,True,True,registry_complete,True,False,False,generic_bottleneck,none,3407.0,30.0,0.3894256575415996,0.3110546272761364,0.38823561659221256,0.3869751008735831,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_generic_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s42_20260804,True,True,registry_complete,True,False,False,generic_bottleneck,none,42.0,35.0,0.3935856146001073,0.31580701608199313,0.39315171255028436,0.39197271782134063,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_lora_qkv_r8_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s1024_20260804,True,True,registry_complete,True,False,False,lora,none,1024.0,21.0,0.42243692968330643,0.3471683960495061,0.4235914236304431,0.42122702693475605,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_lora_qkv_r8_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s3407_20260804,True,True,registry_complete,True,False,False,lora,none,3407.0,11.0,0.4088835212023618,0.3318340829585207,0.4084876718194134,0.4064505862316601,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_lora_qkv_r8_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s42_20260804,True,True,registry_complete,True,False,False,lora,none,42.0,12.0,0.42096081588835216,0.34605608567023616,0.4224268573722585,0.4205631201279947,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,patch,1024.0,43.0,0.3824476650563607,0.3047285464098074,0.3825379109622883,0.3821811648424867,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,patch,3407.0,37.0,0.39492753623188404,0.3175710863451724,0.394399891034501,0.39344903177876545,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_patch_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s42_lr5e-4_20260804,True,True,registry_complete,True,False,False,interaction_aligned,patch,42.0,47.0,0.38298443370907137,0.30551962952146516,0.38481922926521017,0.3842866123669117,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_probe_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s1024_20260804,True,True,registry_complete,True,False,False,frozen_probe,none,1024.0,17.0,0.37909286097691897,0.2997519954984057,0.3795963124311903,0.3784459502731745,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_probe_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s3407_20260804,True,True,registry_complete,True,False,False,frozen_probe,none,3407.0,43.0,0.3789586688137413,0.30011674449633086,0.38084727771879767,0.3799335591536526,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_probe_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s42_20260804,True,True,registry_complete,True,False,False,frozen_probe,none,42.0,46.0,0.3750670960815888,0.2979704219770135,0.37618588879858567,0.3768114208915497,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_upper2_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s1024_20260804,True,True,registry_complete,True,False,False,upper_k_finetune,none,1024.0,46.0,0.4017713365539452,0.3246330887258172,0.4027601491103256,0.40082886558946806,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_evalmode_frozen_upper2_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s3407_20260804,True,True,registry_complete,True,False,False,upper_k_finetune,none,3407.0,17.0,0.39989264626945786,0.32133933033483253,0.3991059502450864,0.39675692821252384,False,CBraMod/test_metrics.json,True,False,False,True,False
