backbone,dataset,run_id,artifact_dir,method,axis,seed,candidate,candidate_score,contract_valid,status,selected_epoch,val_selection_value,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,trainable_parameters,adapter_delta_ratio,backbone_update_norm,source
CBraMod,faced,faced_evalmode_frozen_generic_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s1024_20260804,generic_bottleneck,none,1024,True,102,True,completed,18,0.3797936165106792,0.38754696725711213,0.31001125797439844,0.3863050278036913,0.38562317376620586,128430274,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_lora_qkv_r8_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s1024_20260804,lora,none,1024,True,102,True,completed,21,0.4240920532182667,0.42243692968330643,0.3471683960495061,0.4235914236304431,0.42122702693475605,128480809,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_upper2_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_upper2_s1024_20260804,upper_k_finetune,none,1024,True,102,True,completed,46,0.3947362107435042,0.4017713365539452,0.3246330887258172,0.4027601491103256,0.40082886558946806,129209209,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_axis_blind_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s1024_20260804,axis_blind,generic_token_control,1024,True,102,True,completed,32,0.3779119930974978,0.3852657004830918,0.3065033537474482,0.38599831322065864,0.3848693007810737,128463958,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_probe_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s3407_20260804,frozen_probe,none,3407,True,102,True,completed,43,0.3705525299297042,0.3789586688137413,0.30011674449633086,0.38084727771879767,0.3799335591536526,128404009,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,interaction_aligned,channel,3407,True,102,True,completed,43,0.3713681986265188,0.37654320987654316,0.2984813084112149,0.37761446006560856,0.3772978722061226,128433814,0.40668967366218567,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,interaction_aligned,patch,3407,True,102,True,completed,37,0.38032896945283656,0.39492753623188404,0.3175710863451724,0.394399891034501,0.39344903177876545,128433814,0.5034801363945007,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,interaction_aligned,channel_patch,3407,True,102,True,completed,18,0.3775539568345323,0.39023081052066555,0.31227865505603936,0.389112028967704,0.3881569328609679,128463619,0.6617234945297241,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_generic_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s3407_20260804,generic_bottleneck,none,3407,True,102,True,completed,30,0.38556730700050357,0.3894256575415996,0.3110546272761364,0.38823561659221256,0.3869751008735831,128430274,,0.0,summary.json + test_metrics.json
CBraMod,faced,faced_evalmode_frozen_lora_qkv_r8_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s3407_20260804,lora,none,3407,True,102,True,completed,11,0.4037415862217645,0.4088835212023618,0.3318340829585207,0.4084876718194134,0.4064505862316601,128480809,,0.0,summary.json + test_metrics.json
