comparison,backbone,dataset,axis,seed,left_method,right_method,metric,left_value,right_value,effect_left_minus_right,left_better,parameter_match_pct,pair_validity,pair_contract_valid,pair_artifacts_verified,pair_invalid_reason,left_artifact,right_artifact,scope_note
aligned_vs_axis_blind,CBraMod,faced,channel,3407,interaction_aligned,axis_blind,cohen_kappa,0.2984813084112149,0.31424045356011343,-0.015759145148898535,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel,3407,interaction_aligned,axis_blind,macro_f1,0.37761446006560856,0.38906197842338075,-0.01144751835777219,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel,3407,interaction_aligned,axis_blind,weighted_f1,0.3772978722061226,0.38850024109873615,-0.011202368892613557,0,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,3407,interaction_aligned,axis_blind,balanced_accuracy,0.39492753623188404,0.3913043478260869,0.0036231884057971175,1,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,3407,interaction_aligned,axis_blind,cohen_kappa,0.3175710863451724,0.31424045356011343,0.0033306327850589623,1,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,3407,interaction_aligned,axis_blind,macro_f1,0.394399891034501,0.38906197842338075,0.005337912611120266,1,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,patch,3407,interaction_aligned,axis_blind,weighted_f1,0.39344903177876545,0.38850024109873615,0.004948790680029291,1,0.02346494726559803,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,3407,interaction_aligned,axis_blind,balanced_accuracy,0.39023081052066555,0.3913043478260869,-0.0010735373054213682,0,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,3407,interaction_aligned,axis_blind,cohen_kappa,0.31227865505603936,0.31424045356011343,-0.001961798504074075,0,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,3407,interaction_aligned,axis_blind,macro_f1,0.389112028967704,0.38906197842338075,5.0050544323276824e-05,1,0.0002638872453237039,PAIR_ARTIFACT_UNVERIFIED,True,False,full configuration-level nuisance matching not yet manually confirmed,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,
