backbone,dataset,method,axis,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,selected_epoch_mean,selected_epoch_sd
CBraMod,faced,native_full_finetune,patch,3,"42,1024,3407",0.5667382358203614,0.0061235360564632,0.5102350406949319,0.006391429282760038,0.5761222623479515,0.005545429147200565,0.5718766172842602,0.0051659963354559945,133317614.0,0.0,26.333333333333332,5.686240703077327
CBraMod,faced,upper_k_finetune,none,3,"42,1024,3407",0.4034711039541957,0.004666595582660574,0.326351896626118,0.00605770253189372,0.40363995961650967,0.005031935670004301,0.4017976658650105,0.005588477259661493,129209209.0,0.0,34.666666666666664,15.50268793897798
CBraMod,isruc,axis_blind,generic_token_control,3,"42,1024,3407",0.7532958712396746,0.007790104383654845,0.7103919723073946,0.010839446278057687,0.7512394395778063,0.008516771084426016,0.7754185442618017,0.008205536473295492,21647410.0,0.0,14.0,5.5677643628300215
CBraMod,isruc,frozen_probe,none,3,"42,1024,3407",0.7562040134891609,0.0032567188564978145,0.7111970367878265,0.009944812564234323,0.7516455977619592,0.005481066388208884,0.7750524205277783,0.009158532711809659,21587461.0,0.0,15.333333333333334,5.033222956847166
CBraMod,isruc,full_finetune,none,3,"42,1024,3407",0.7810202529376736,0.010487885563444729,0.7405753774236393,0.011634481992388574,0.7779849038976447,0.009864841421011546,0.8008950400997719,0.00823060096797763,26471261.0,0.0,7.666666666666667,6.3508529610858835
CBraMod,isruc,generic_bottleneck,none,3,"42,1024,3407",0.7453075983774077,0.006342440206502871,0.7029874853013178,0.007410709279517361,0.7420946682455406,0.0038545594431790586,0.7676256111282018,0.004192738668836717,21613726.0,0.0,14.666666666666666,5.131601439446884
CBraMod,isruc,interaction_aligned,channel,3,"42,1024,3407",0.7480842224322377,0.004108293049734189,0.7007649683698792,0.00882364640958951,0.737630005945412,0.01137314161723558,0.763004634996644,0.00997432706189835,21604700.666666668,10881.897873686066,11.666666666666666,3.7859388972001824
CBraMod,isruc,interaction_aligned,channel_patch,3,"42,1024,3407",0.7530559498028488,0.00580818995874815,0.7145801846288717,0.0029047026742615783,0.7484472456173615,0.00700781407820149,0.7752295577555739,0.0038937967602086523,21621940.333333332,21763.795747372133,11.666666666666666,3.7859388972001824
CBraMod,isruc,interaction_aligned,patch,3,"42,1024,3407",0.7484250677489114,0.00485634643187878,0.7033360303592718,0.008639526519698335,0.7415143953150146,0.015015806501734476,0.7667403440350113,0.01086325990492312,21604700.666666668,10881.897873686066,12.666666666666666,3.511884584284246
CBraMod,isruc,lora,none,3,"42,1024,3407",0.7513696190917086,0.004537507361756392,0.7096292881254959,0.008450895042733447,0.74660064500332,0.007034449322106708,0.7734788536143595,0.006331972307493197,21664261.0,0.0,12.666666666666666,5.507570547286102
