comparison,backbone,dataset,axis,metric,n,seeds,effect_mean,effect_sd,positive_seeds,effect_min,effect_max,scope_note,pair_validity,pair_invalid_reason,parameter_match_pct_mean
aligned_vs_frozen_probe,CBraMod,physionet_mi,channel,balanced_accuracy,3,"42,1024,3407",0.0014451911227926217,0.01024335449606889,1,-0.007231079668373774,0.012745226776272323,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,channel,cohen_kappa,3,"42,1024,3407",0.0019440127766282937,0.013638070365568767,1,-0.009635664415139744,0.01697670106278859,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,channel,macro_f1,3,"42,1024,3407",0.0010338952210099765,0.008675152071846645,1,-0.006541103568179274,0.01049790837648823,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,channel,weighted_f1,3,"42,1024,3407",0.0010264783773489643,0.008653172817417664,1,-0.006554156471950789,0.010453983156458735,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,patch,balanced_accuracy,3,"42,1024,3407",-0.0015358594181740608,0.018116120163800545,1,-0.017233207441669895,0.018287319116150114,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,patch,cohen_kappa,3,"42,1024,3407",-0.002007702475759506,0.024114642551567554,1,-0.022918708777998287,0.024371473209064853,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,patch,macro_f1,3,"42,1024,3407",-0.003824353074301993,0.018747228172379574,1,-0.019080782309654265,0.017103846106796716,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,physionet_mi,patch,weighted_f1,3,"42,1024,3407",-0.003825011974642097,0.01871328730229923,1,-0.019052124035884077,0.017065908830819487,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,channel,balanced_accuracy,3,"42,1024,3407",-0.006857293691408195,0.003574821859408825,0,-0.010676568746979642,-0.003591483289714259,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
aligned_vs_frozen_probe,CBraMod,seedv,channel,cohen_kappa,3,"42,1024,3407",-0.008258667406386625,0.0036427866707205514,0,-0.011760221583068664,-0.004489417259221251,within-subject protocol; patch axis is singleton/degenerate,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,
